AG03
1.00000    0.00066
0.99488    0.00121
0.98497    0.00225
0.97331    0.00343
0.96094    0.00465
0.94837    0.00589
0.93575    0.00714
0.92312    0.00840
0.91049    0.00966
0.89785    0.01091
0.88523    0.01217
0.87261    0.01341
0.86000    0.01465
0.84739    0.01587
0.83479    0.01709
0.82218    0.01829
0.80958    0.01948
0.79697    0.02066
0.78437    0.02182
0.77176    0.02297
0.75915    0.02411
0.74654    0.02524
0.73393    0.02635
0.72131    0.02745
0.70870    0.02854
0.69608    0.02961
0.68347    0.03068
0.67086    0.03172
0.65825    0.03276
0.64564    0.03377
0.63303    0.03477
0.62043    0.03576
0.60783    0.03672
0.59523    0.03766
0.58263    0.03859
0.57004    0.03949
0.55745    0.04036
0.54486    0.04122
0.53228    0.04204
0.51970    0.04284
0.50712    0.04361
0.49454    0.04436
0.48197    0.04507
0.46940    0.04575
0.45683    0.04639
0.44427    0.04701
0.43171    0.04758
0.41915    0.04812
0.40659    0.04862
0.39404    0.04909
0.38149    0.04951
0.36895    0.04989
0.35641    0.05022
0.34389    0.05051
0.33137    0.05075
0.31886    0.05094
0.30636    0.05108
0.29387    0.05115
0.28140    0.05117
0.26895    0.05113
0.25651    0.05102
0.24410    0.05083
0.23171    0.05057
0.21934    0.05022
0.20701    0.04979
0.19472    0.04926
0.18247    0.04862
0.17028    0.04788
0.15814    0.04701
0.14606    0.04602
0.13408    0.04488
0.12219    0.04358
0.11042    0.04211
0.09879    0.04045
0.08733    0.03858
0.07610    0.03649
0.06514    0.03415
0.05454    0.03155
0.04444    0.02868
0.03505    0.02558
0.02673    0.02234
0.01980    0.01913
0.01440    0.01615
0.01038    0.01352
0.00741    0.01123
0.00522    0.00924
0.00358    0.00750
0.00236    0.00596
0.00146    0.00459
0.00080    0.00335
0.00034    0.00217
0.00006    0.00104
0.00000    -0.00014
0.00030    -0.00124
0.00130    -0.00235
0.00283    -0.00339
0.00515    -0.00455
0.00815    -0.00570
0.01207    -0.00687
0.01731    -0.00808
0.02414    -0.00928
0.03277    -0.01040
0.04296    -0.01134
0.05378    -0.01205
0.06507    -0.01254
0.07671    -0.01288
0.08860    -0.01308
0.10066    -0.01316
0.11285    -0.01316
0.12513    -0.01310
0.13748    -0.01299
0.14989    -0.01285
0.16234    -0.01270
0.17483    -0.01253
0.18736    -0.01236
0.19993    -0.01217
0.21253    -0.01199
0.22515    -0.01181
0.23780    -0.01163
0.25047    -0.01144
0.26316    -0.01126
0.27586    -0.01107
0.28856    -0.01089
0.30126    -0.01070
0.31397    -0.01052
0.32667    -0.01033
0.33936    -0.01015
0.35204    -0.00997
0.36473    -0.00978
0.37741    -0.00960
0.39008    -0.00941
0.40275    -0.00923
0.41542    -0.00904
0.42808    -0.00886
0.44074    -0.00868
0.45340    -0.00849
0.46606    -0.00831
0.47872    -0.00812
0.49139    -0.00794
0.50406    -0.00775
0.51673    -0.00757
0.52940    -0.00739
0.54207    -0.00720
0.55473    -0.00702
0.56740    -0.00683
0.58006    -0.00665
0.59273    -0.00647
0.60539    -0.00628
0.61806    -0.00610
0.63072    -0.00591
0.64339    -0.00573
0.65605    -0.00555
0.66871    -0.00536
0.68138    -0.00518
0.69404    -0.00499
0.70671    -0.00481
0.71937    -0.00463
0.73204    -0.00444
0.74471    -0.00426
0.75739    -0.00407
0.77006    -0.00389
0.78273    -0.00371
0.79541    -0.00352
0.80809    -0.00334
0.82077    -0.00315
0.83346    -0.00297
0.84616    -0.00278
0.85886    -0.00260
0.87156    -0.00242
0.88427    -0.00223
0.89698    -0.00205
0.90968    -0.00186
0.92238    -0.00168
0.93508    -0.00149
0.94778    -0.00131
0.96044    -0.00112
0.97293    -0.00094
0.98479    -0.00077
0.99483    -0.00062
1.00000    -0.00055
