100	0	0
99.692	0.141	0
98.842	0.552	0
97.564	1.157	0
95.877	1.84	0
93.743	2.552	0
91.162	3.3	0
88.17	4.079	0
84.805	4.868	0
81.104	5.651	0
77.107	6.407	0
72.855	7.12	0
68.39	7.773	0
63.757	8.353	0
59.004	8.847	0
54.177	9.243	0
49.323	9.532	0
44.49	9.704	0
39.722	9.754	0
35.064	9.678	0
30.56	9.475	0
26.249	9.144	0
22.169	8.69	0
18.354	8.119	0
14.836	7.439	0
11.644	6.665	0
8.803	5.809	0
6.333	4.891	0
4.254	3.93	0
2.576	2.951	0
1.311	1.981	0
0.461	1.058	0
0.031	0.238	0
0.108	-0.385	0
0.769	-0.866	0
1.979	-1.291	0
3.703	-1.63	0
5.924	-1.869	0
8.628	-1.999	0
11.795	-2.02	0
15.401	-1.932	0
19.42	-1.742	0
23.817	-1.46	0
28.554	-1.098	0
33.588	-0.675	0
38.868	-0.21	0
44.341	0.276	0
49.945	0.757	0
55.614	1.211	0
61.279	1.611	0
66.862	1.937	0
72.287	2.167	0
77.471	2.284	0
82.331	2.277	0
86.782	2.137	0
90.737	1.863	0
94.105	1.456	0
96.763	0.945	0
98.608	0.449	0
99.661	0.113	0
100	0	0
